open,high,low,close,tick_volume,returns
1.2053,1.2076,1.2019,1.2059,10445,0.0007468879668048878
1.2058,1.2294,1.2042,1.2283,11900,0.01857533792188404
1.2287,1.2293,1.2245,1.2266,11389,-0.0013840267035740705
1.2267000000000001,1.2323,1.2221,1.2227999999999999,11031,-0.0030979944562204986
1.2229,1.2252,1.2195,1.2225,10858,-0.0002453385672227526
1.2227000000000001,1.2296,1.2215,1.2248999999999999,11356,0.001963190184049113
1.225,1.2381,1.2175,1.2377,11763,0.010449832639399359
1.2379,1.2385,1.2314,1.2359,10501,-0.0014543104144785213
1.236,1.2391,1.231,1.2348,10484,-0.0008900396472206751
1.2349999999999999,1.2368000000000001,1.2284,1.2338,10460,-0.0008098477486231381
1.2335,1.2382,1.2332,1.2368000000000001,10820,0.002431512400713265
1.2368999999999999,1.2385,1.2278,1.2319,10504,-0.003961836998706447
1.2313,1.2322,1.2131,1.2139,10723,-0.014611575614903782
1.214,1.217,1.2058,1.2082,11081,-0.004695609193508532
1.2079,1.2119,1.2052,1.2085,11293,0.0002483032610494096
1.2084,1.2119,1.2049,1.2105,10833,0.001654944145635051
1.2102,1.2138,1.2004,1.2015,10764,-0.0074349442379181285
1.2012,1.2071,1.1985999999999999,1.2053,8409,0.0031627132750728926
1.2052,1.2196,1.2043,1.2182,8997,0.010702729610885253
1.2181,1.2224,1.2144,1.2191,9260,0.0007387949433590446
1.2191,1.2202,1.214,1.2169,10286,-0.0018046099581658925
1.2166,1.2197,1.2041,1.2061,10736,-0.00887501027200277
1.2062,1.2082,1.2046000000000001,1.2065,7881,0.0003316474587513607
1.2066,1.2114,1.2054,1.2104,8741,0.003232490675507682
1.2107,1.2195,1.2026,1.2184,9503,0.006609385327164485
1.2175,1.2239,1.2158,1.2233,9187,0.004021667760998104
1.2233,1.2311,1.2196,1.2269,9766,0.002942859478459958
1.2268,1.2288999999999999,1.2223,1.226,8435,-0.000733556117043066
1.2262,1.2297,1.2224,1.2247,9362,-0.0010603588907015515
1.2248,1.2264,1.2134,1.2152,9293,-0.007757001714705503
1.215,1.2205,1.212,1.2185,8873,0.0027156023699801413
1.2186,1.2225,1.2156,1.217,8557,-0.0012310217480507868
1.2174,1.2183,1.2125,1.2172,8284,0.0001643385373870654
